value,reason
16192,auto_duplicate
16193,auto_duplicate
16194,auto_duplicate
16195,auto_duplicate
16196,auto_duplicate
16198,auto_duplicate
16199,auto_duplicate
16200,auto_duplicate
16202,auto_duplicate
16204,auto_duplicate
16205,auto_duplicate
16206,auto_duplicate
16207,auto_duplicate
1621,auto_duplicate
16210,auto_duplicate
16211,auto_duplicate
16213,auto_duplicate
16215,auto_duplicate
16216,auto_duplicate
16217,auto_duplicate
16218,auto_duplicate
16219,auto_duplicate
1622,auto_duplicate
16222,auto_duplicate
16223,auto_duplicate
16233,auto_duplicate
16234,auto_duplicate
16235,auto_duplicate
16236,auto_duplicate
1624,auto_duplicate
16245,author_or_recipient_unknown
1625,auto_duplicate
1629,auto_duplicate
1630,auto_duplicate
1631,auto_duplicate
16338,from_emlo_matches
16339,from_emlo_matches
1634,auto_duplicate
16340,from_emlo_matches
16341,from_emlo_matches
16342,from_emlo_matches
16343,from_emlo_matches
16344,from_emlo_matches
16345,from_emlo_matches
16347,author_or_recipient_unknown
1636,auto_duplicate
16361,auto_duplicate
16362,auto_duplicate
16363,auto_duplicate
16364,auto_duplicate
16366,auto_duplicate
16367,auto_duplicate
16368,auto_duplicate
16369,auto_duplicate
1637,auto_duplicate
16370,auto_duplicate
16371,auto_duplicate
16372,auto_duplicate
16373,auto_duplicate
16375,auto_duplicate
16376,auto_duplicate
16377,auto_duplicate
16379,auto_duplicate
16380,auto_duplicate
16384,auto_duplicate
16386,auto_duplicate
16387,auto_duplicate
1642,auto_duplicate
1643,auto_duplicate
1644,auto_duplicate
1645,auto_duplicate
1646,auto_duplicate
1647,auto_duplicate
1648,auto_duplicate
1649,auto_duplicate
1651,auto_duplicate
1652,auto_duplicate
1654,auto_duplicate
16558,author_or_recipient_unknown
1656,auto_duplicate
1657,auto_duplicate
16576,author_or_recipient_unknown
1658,auto_duplicate
1659,auto_duplicate
1660,auto_duplicate
1661,auto_duplicate
1663,auto_duplicate
1664,auto_duplicate
16653,author_or_recipient_unknown
1666,auto_duplicate
16677,author_or_recipient_unknown
1669,auto_duplicate
1671,auto_duplicate
1672,auto_duplicate
1675,auto_duplicate
1677,auto_duplicate
16807,marked_to_delete
16809,marked_to_delete
1681,auto_duplicate
16810,marked_to_delete
16811,marked_to_delete
16812,marked_to_delete
16813,marked_to_delete
16814,marked_to_delete
16815,marked_to_delete
16816,marked_to_delete
16817,marked_to_delete
16818,marked_to_delete
16819,marked_to_delete
16820,marked_to_delete
16821,marked_to_delete
16822,marked_to_delete
16823,marked_to_delete
16824,marked_to_delete
16825,marked_to_delete
16826,marked_to_delete
16827,marked_to_delete
16828,marked_to_delete
16829,marked_to_delete
16830,marked_to_delete
16833,marked_to_delete
16834,marked_to_delete
16835,marked_to_delete
16836,marked_to_delete
16838,marked_to_delete
16839,marked_to_delete
16840,marked_to_delete
16841,marked_to_delete
16842,marked_to_delete
16843,marked_to_delete
16844,marked_to_delete
16845,marked_to_delete
16847,marked_to_delete
16848,marked_to_delete
16849,marked_to_delete
16850,marked_to_delete
16851,marked_to_delete
16852,marked_to_delete
16862,auto_duplicate
16863,auto_duplicate
16868,from_emlo_matches
16869,from_emlo_matches
1687,auto_duplicate
16870,from_emlo_matches
16871,from_emlo_matches
16872,from_emlo_matches
16873,from_emlo_matches
16874,from_emlo_matches
1688,auto_duplicate
1689,auto_duplicate
16891,author_or_recipient_unknown
16892,author_or_recipient_unknown
1691,auto_duplicate
1692,auto_duplicate
1693,auto_duplicate
1694,auto_duplicate
16975,author_or_recipient_unknown
1698,auto_duplicate
1699,auto_duplicate
1700,auto_duplicate
17001,auto_duplicate
17002,auto_duplicate
17004,auto_duplicate
1701,auto_duplicate
1702,auto_duplicate
1703,auto_duplicate
1704,auto_duplicate
1705,auto_duplicate
1706,auto_duplicate
1707,auto_duplicate
1708,auto_duplicate
1709,auto_duplicate
17099,auto_duplicate
1710,auto_duplicate
17100,auto_duplicate
17105,from_emlo_matches
1712,auto_duplicate
1714,auto_duplicate
1716,auto_duplicate
1717,auto_duplicate
17179,author_or_recipient_unknown
1718,auto_duplicate
1719,auto_duplicate
1720,auto_duplicate
17205,author_or_recipient_unknown
17206,author_or_recipient_unknown
1721,auto_duplicate
17224,author_or_recipient_unknown
17225,author_or_recipient_unknown
1723,auto_duplicate
17232,from_emlo_matches
17233,from_emlo_matches
1724,auto_duplicate
1725,auto_duplicate
17257,auto_duplicate
1727,auto_duplicate
1728,auto_duplicate
1729,auto_duplicate
1730,auto_duplicate
1731,auto_duplicate
1732,auto_duplicate
1734,auto_duplicate
1735,auto_duplicate
1736,auto_duplicate
1737,auto_duplicate
17374,author_or_recipient_unknown
1738,auto_duplicate
1739,auto_duplicate
1740,auto_duplicate
1743,auto_duplicate
1744,auto_duplicate
17447,auto_duplicate
1745,auto_duplicate
1750,auto_duplicate
1751,auto_duplicate
17512,auto_duplicate
17513,auto_duplicate
17514,auto_duplicate
17515,auto_duplicate
17517,author_or_recipient_unknown
17518,author_or_recipient_unknown
17519,author_or_recipient_unknown
1752,auto_duplicate
1753,auto_duplicate
17538,auto_duplicate
1754,auto_duplicate
17544,auto_duplicate
17570,author_or_recipient_unknown
17574,auto_duplicate
1758,auto_duplicate
1759,auto_duplicate
1761,auto_duplicate
17619,marked_to_delete
1762,auto_duplicate
1763,auto_duplicate
1764,auto_duplicate
1766,auto_duplicate
1767,auto_duplicate
1768,auto_duplicate
1769,auto_duplicate
1770,auto_duplicate
1771,auto_duplicate
1772,auto_duplicate
1773,auto_duplicate
17743,auto_duplicate
17746,auto_duplicate
1775,auto_duplicate
1776,auto_duplicate
17760,from_emlo_matches
1777,auto_duplicate
1778,auto_duplicate
1779,auto_duplicate
1780,auto_duplicate
17816,author_or_recipient_unknown
1783,auto_duplicate
1789,author_or_recipient_unknown
1790,auto_duplicate
17908,marked_to_delete
18050,auto_duplicate
18052,auto_duplicate
18110,auto_duplicate
18190,auto_duplicate
18204,from_emlo_matches
18242,from_emlo_matches
18243,from_emlo_matches
18276,auto_duplicate
1828,auto_duplicate
1839,auto_duplicate
1840,auto_duplicate
1842,auto_duplicate
18421,auto_duplicate
18571,author_or_recipient_unknown
18572,author_or_recipient_unknown
18573,from_emlo_matches
18630,auto_duplicate
1878,author_or_recipient_unknown
18785,author_or_recipient_unknown
18820,auto_duplicate
18850,from_emlo_matches
19044,from_emlo_matches
19045,from_emlo_matches
1919,marked_to_delete
19226,author_or_recipient_unknown
19227,author_or_recipient_unknown
19326,auto_duplicate
19388,auto_duplicate
19392,author_or_recipient_unknown
19416,auto_duplicate
19417,marked_to_delete
19419,author_or_recipient_unknown
19468,auto_duplicate
19470,auto_duplicate
19506,marked_to_delete
19507,marked_to_delete
19508,marked_to_delete
19509,marked_to_delete
19510,marked_to_delete
19511,auto_duplicate
19513,marked_to_delete
19514,author_or_recipient_unknown|marked_to_delete
19515,marked_to_delete
19516,marked_to_delete
19517,marked_to_delete
19518,marked_to_delete
19519,marked_to_delete
19520,marked_to_delete
19521,marked_to_delete
19522,marked_to_delete
19524,marked_to_delete
19525,marked_to_delete
19526,marked_to_delete
19527,marked_to_delete
19528,marked_to_delete
19529,marked_to_delete
19530,marked_to_delete
19531,marked_to_delete
19532,marked_to_delete
19533,marked_to_delete
19534,author_or_recipient_unknown|marked_to_delete
19535,marked_to_delete
19536,marked_to_delete
19537,marked_to_delete
19539,marked_to_delete
19540,marked_to_delete
19543,marked_to_delete
19544,marked_to_delete
19546,marked_to_delete
19547,marked_to_delete
19548,marked_to_delete
19549,marked_to_delete
19551,marked_to_delete
19552,marked_to_delete
19553,marked_to_delete
19554,marked_to_delete
19555,marked_to_delete
19556,marked_to_delete
19557,marked_to_delete
19558,marked_to_delete
19559,marked_to_delete
19560,marked_to_delete
19562,marked_to_delete
19563,marked_to_delete
19564,marked_to_delete
19565,marked_to_delete
19569,marked_to_delete
19570,marked_to_delete
19571,marked_to_delete
19572,marked_to_delete
19573,marked_to_delete
19574,marked_to_delete
19575,marked_to_delete
