value,reason
200614,marked_to_delete
200640,auto_duplicate
200661,auto_duplicate
200662,auto_duplicate
200663,marked_to_delete
20327,marked_to_delete
20361,auto_duplicate
20369,auto_duplicate
20379,auto_duplicate
20385,auto_duplicate
20479,marked_to_delete
2060,from_emlo_matches
21242,auto_duplicate
21243,auto_duplicate
21252,from_emlo_matches
21253,from_emlo_matches
21269,from_emlo_matches
21360,auto_duplicate
21373,from_emlo_matches
21413,auto_duplicate
21414,auto_duplicate
21415,auto_duplicate
21427,auto_duplicate
21502,from_emlo_matches
21704,from_emlo_matches
21705,from_emlo_matches
21706,from_emlo_matches
21707,from_emlo_matches
21708,from_emlo_matches
21709,from_emlo_matches
21710,from_emlo_matches
21711,from_emlo_matches
21713,from_emlo_matches
21830,auto_duplicate
21833,auto_duplicate
21948,auto_duplicate
21955,auto_duplicate
21960,auto_duplicate
21968,auto_duplicate
21986,auto_duplicate
21987,auto_duplicate
21988,auto_duplicate
21990,auto_duplicate
22015,auto_duplicate
22016,auto_duplicate
22017,auto_duplicate
22020,auto_duplicate
22022,auto_duplicate
22029,auto_duplicate
22033,auto_duplicate
22034,auto_duplicate
22035,auto_duplicate
22037,auto_duplicate
22040,auto_duplicate
22046,auto_duplicate
22047,auto_duplicate
22052,from_emlo_matches
22055,from_emlo_matches
22056,from_emlo_matches
22084,auto_duplicate
22094,auto_duplicate
22097,auto_duplicate
22098,auto_duplicate
22100,auto_duplicate
22104,auto_duplicate
22106,auto_duplicate
22120,from_emlo_matches
22141,auto_duplicate
22142,auto_duplicate
22143,auto_duplicate
22192,auto_duplicate
22282,from_emlo_matches
22283,from_emlo_matches
22284,from_emlo_matches
22731,auto_duplicate
22751,auto_duplicate
22771,auto_duplicate
23099,from_emlo_matches
23101,from_emlo_matches
23144,from_emlo_matches
23145,from_emlo_matches
23283,auto_duplicate
24901,from_emlo_matches
24906,auto_duplicate
24911,auto_duplicate
24912,auto_duplicate
24913,auto_duplicate
24914,auto_duplicate
24916,auto_duplicate
24920,auto_duplicate
24922,auto_duplicate
24923,auto_duplicate
24924,auto_duplicate
24932,auto_duplicate
24942,auto_duplicate
24945,auto_duplicate
24948,auto_duplicate
24960,auto_duplicate
24961,auto_duplicate
24963,auto_duplicate
24965,auto_duplicate
24966,auto_duplicate
24968,auto_duplicate
24970,auto_duplicate
24971,auto_duplicate
24973,auto_duplicate
24975,auto_duplicate
25061,auto_duplicate
25217,auto_duplicate
25639,auto_duplicate
25642,auto_duplicate
25643,auto_duplicate
25644,auto_duplicate
25646,auto_duplicate
25648,auto_duplicate
25650,auto_duplicate
25654,auto_duplicate
25655,auto_duplicate
25656,auto_duplicate
25657,auto_duplicate
25660,auto_duplicate
25662,auto_duplicate
25663,auto_duplicate
25664,auto_duplicate
25714,auto_duplicate
25748,auto_duplicate
25973,from_emlo_matches
26005,auto_duplicate
26060,auto_duplicate
26469,auto_duplicate
26497,auto_duplicate
26786,auto_duplicate
26788,auto_duplicate
26789,auto_duplicate
26790,auto_duplicate
26829,auto_duplicate
27052,from_emlo_matches
27122,auto_duplicate
27133,auto_duplicate
27168,from_emlo_matches
27174,auto_duplicate
27177,auto_duplicate
27179,auto_duplicate
27180,auto_duplicate
27181,auto_duplicate
27182,auto_duplicate
27183,auto_duplicate
27186,auto_duplicate
27187,auto_duplicate
27192,auto_duplicate
27193,auto_duplicate
27194,auto_duplicate
27196,auto_duplicate
27197,auto_duplicate
27199,auto_duplicate
27264,auto_duplicate
2732,auto_duplicate
2735,auto_duplicate
27350,from_emlo_matches
2736,auto_duplicate
2738,auto_duplicate
2739,auto_duplicate
2740,auto_duplicate
2742,auto_duplicate
27802,auto_duplicate
27925,from_emlo_matches
2808,auto_duplicate
282,auto_duplicate
28560,auto_duplicate
28628,auto_duplicate
288,auto_duplicate
28850,auto_duplicate
2891,from_emlo_matches
2892,from_emlo_matches
29137,from_emlo_matches
29138,from_emlo_matches
29139,from_emlo_matches
29140,from_emlo_matches
29142,from_emlo_matches
29143,from_emlo_matches
29144,from_emlo_matches
29145,from_emlo_matches
29243,auto_duplicate
29268,from_emlo_matches
29269,from_emlo_matches
29270,from_emlo_matches
29271,from_emlo_matches
29272,from_emlo_matches
29273,from_emlo_matches
29274,from_emlo_matches
29468,auto_duplicate
29469,auto_duplicate
29488,auto_duplicate
29725,from_emlo_matches
29774,from_emlo_matches
29941,from_emlo_matches
300018,auto_duplicate
300138,marked_to_delete
300147,auto_duplicate
300155,marked_to_delete
300327,auto_duplicate
300333,marked_to_delete
300419,from_emlo_matches
300422,from_emlo_matches
30044,auto_duplicate
300684,marked_to_delete
30073,from_emlo_matches
301010,from_emlo_matches
301500,auto_duplicate
301501,from_emlo_matches
301502,from_emlo_matches
301503,from_emlo_matches
301504,from_emlo_matches
301505,from_emlo_matches
301506,from_emlo_matches
301507,from_emlo_matches
301509,from_emlo_matches
301510,from_emlo_matches
301511,from_emlo_matches
301512,from_emlo_matches
301513,from_emlo_matches
301932,auto_duplicate
301938,from_emlo_matches
301939,from_emlo_matches
301953,marked_to_delete
301973,from_emlo_matches
302100,marked_to_delete
302107,marked_to_delete
302108,from_emlo_matches
